CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0002563,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,Y
K0002566,T,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0002572,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0002573,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0002575,T,State Police,N,M,M,day,b) 10 to 15,46-50,N,Y
K0002576,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002577,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002578,T,State Police,N,W,M,day,d) more than 20,36-40,N,Y
K0002580,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,Y
K0002587,T,State Police,N,W,M,night,U,16-20,N,Y
K0002588,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0002589,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0002590,T,State Police,N,H,M,night,c) 16 to 20,36-40,N,Y
K0002591,T,State Police,N,W,M,night,d) more than 20,26-30,Y,Y
K0002592,T,State Police,N,W,M,night,b) 10 to 15,21-25,Y,Y
K0002593,T,State Police,N,W,M,night,U,21-25,N,Y
K0002595,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0002596,T,State Police,N,W,M,night,b) 10 to 15,26-30,Y,Y
K0002600,T,State Police,N,W,F,day,U,21-25,Y,Y
K0002601,T,State Police,N,W,F,day,U,31-35,N,Y
K0002602,T,State Police,N,W,M,day,U,41-45,N,N
K0002606,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0002611,T,State Police,N,W,M,day,U,16-20,Y,Y
K0002615,T,State Police,N,H,M,day,U,36-40,N,Y
K0002616,T,State Police,N,W,F,night,U,36-40,N,N
K0002618,T,State Police,N,W,M,day,U,36-40,N,Y
K0002619,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0002622,T,State Police,N,W,F,day,c) 16 to 20,36-40,N,Y
K0002624,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0002627,T,State Police,N,W,F,day,d) more than 20,16-20,N,Y
K0002629,T,State Police,N,U,M,day,d) more than 20,41-45,N,Y
K0002635,T,State Police,N,U,M,night,U,26-30,N,Y
